date_o,sales,promo,oil price,Holiday,transactions,cluster
2013-01-01,0.0,0,93.14,False,0.0,
2013-01-02,18329.638,0,93.14,False,3547.0,
2013-01-03,12356.20504,0,92.97,False,2675.0,
2013-01-04,12171.998022,0,93.12,False,2515.0,
2013-01-05,14763.048999999999,0,93.2,False,3052.0,
2013-01-06,15739.27605,0,93.2,False,3188.0,
2013-01-07,10902.779,0,93.2,False,2361.0,
2013-01-08,10182.083,0,93.21,False,2388.0,
2013-01-09,9405.815,0,93.08,False,2230.0,
2013-01-10,9524.259,0,93.81,False,2274.0,
2013-01-11,8173.341,0,93.6,False,2053.0,
2013-01-12,12142.971,0,94.27,False,2603.0,
2013-01-13,12111.49496,0,94.27,False,2875.0,
2013-01-14,8460.26003,0,94.27,False,2056.0,
2013-01-15,9064.25597,0,93.26,False,2152.0,
2013-01-16,8349.785,0,94.28,False,2060.0,
2013-01-17,8179.532,0,95.49,False,2167.0,
2013-01-18,8592.00699,0,95.61,False,2133.0,
2013-01-19,12151.483,0,96.09,False,2569.0,
2013-01-20,12349.041,0,96.09,False,2597.0,
2013-01-21,9922.53604,0,96.09,False,2200.0,
2013-01-22,8682.765,0,96.09,False,2128.0,
2013-01-23,8040.9710000000005,0,95.06,False,2063.0,
2013-01-24,8616.002,0,95.35,False,2004.0,
2013-01-25,8598.42698,0,95.15,False,2029.0,
2013-01-26,11358.206,0,95.95,False,2361.0,
2013-01-27,11735.136,0,95.95,False,2539.0,
2013-01-28,9120.709,0,95.95,False,2003.0,
2013-01-29,7648.59999,0,97.62,False,2095.0,
2013-01-30,8415.90902,0,97.98,False,2031.0,
2013-01-31,9382.304,0,97.65,False,2177.0,
2013-02-01,12822.228000000001,0,97.46,False,2476.0,
2013-02-02,18055.126,0,96.21,False,3180.0,
2013-02-03,16335.284,0,96.21,False,2882.0,
2013-02-04,13494.673,0,96.21,False,2439.0,
2013-02-05,14304.732,0,96.68,False,2790.0,
2013-02-06,11046.674,0,96.44,False,2465.0,
2013-02-07,10723.739,0,95.84,False,2454.0,
2013-02-08,11713.614,0,95.71,False,2448.0,
2013-02-09,12969.57,0,97.01,False,2770.0,
2013-02-10,13887.158,0,97.01,False,2682.0,
2013-02-11,10955.076,0,97.01,False,2199.0,
2013-02-12,8420.529,0,97.48,False,2098.0,
2013-02-13,10145.765000000001,0,97.03,False,2441.0,
2013-02-14,10468.76,0,97.3,False,2577.0,
2013-02-15,11252.176,0,95.95,False,2278.0,
2013-02-16,13653.107,0,96.69,False,2772.0,
2013-02-17,13239.88696,0,96.69,False,2801.0,
2013-02-18,10295.633,0,96.69,False,2218.0,
2013-02-19,9174.44496,0,96.69,False,2248.0,
2013-02-20,9785.908000000001,0,94.92,False,2246.0,
2013-02-21,8785.12304,0,92.79,False,2111.0,
2013-02-22,7330.076,0,93.12,False,1937.0,
2013-02-23,10875.52,0,92.74,False,2407.0,
2013-02-24,12616.087,0,92.74,False,2503.0,
2013-02-25,10207.190999999999,0,92.74,False,2105.0,
2013-02-26,7863.151,0,92.63,False,2052.0,
2013-02-27,8024.26696,0,92.84,False,1890.0,
2013-02-28,9627.676,0,92.03,False,2205.0,
2013-03-01,13154.761,0,90.71,False,2442.0,
2013-03-02,19722.187,0,90.13,False,3180.0,
2013-03-03,19087.23404,0,90.13,False,3270.0,
2013-03-04,14203.14,0,90.13,False,2579.0,
2013-03-05,13341.24605,0,90.88,False,2734.0,
2013-03-06,12559.071,0,90.47,False,2500.0,
2013-03-07,12661.202,0,91.53,False,2577.0,
2013-03-08,10564.81598,0,92.01,False,2391.0,
2013-03-09,13072.604,0,92.07,False,2735.0,
2013-03-10,14847.244999999999,0,92.07,False,2956.0,
2013-03-11,9193.03801,0,92.07,False,2194.0,
2013-03-12,10037.645,0,92.44,False,2221.0,
2013-03-13,7876.84901,0,92.47,False,2095.0,
2013-03-14,8298.95,0,93.03,False,2076.0,
2013-03-15,9650.15498,0,93.49,False,2150.0,
2013-03-16,12360.45,0,93.71,False,2585.0,
2013-03-17,13853.88696,0,93.71,False,2787.0,
2013-03-18,10067.097,0,93.71,False,2090.0,
2013-03-19,9040.54597,0,92.44,False,2222.0,
2013-03-20,8447.341,0,93.21,False,2037.0,
2013-03-21,9988.56,0,92.46,False,2177.0,
2013-03-22,8792.303,0,93.41,False,1984.0,
2013-03-23,12594.08403,0,94.55,False,2595.0,
2013-03-24,12654.26702,0,94.55,False,2531.0,
2013-03-25,10531.10398,0,94.55,False,2180.0,
2013-03-26,8483.938,0,95.99,False,2081.0,
2013-03-27,9844.398,0,96.53,False,2074.0,
2013-03-28,10155.384,0,97.24,False,2281.0,
2013-03-29,10494.927,0,97.1,False,2466.0,
2013-03-30,15318.271999999999,0,97.1,False,2862.0,
2013-03-31,15490.09,0,97.1,False,2785.0,
2013-04-01,16076.41596,0,97.1,False,2725.0,
2013-04-02,15398.89797,0,97.23,False,2697.0,
2013-04-03,14539.732042,0,95.02,False,2567.0,
2013-04-04,14095.418,0,93.26,False,2548.0,
2013-04-05,12008.326,0,92.76,False,2330.0,
2013-04-06,15551.65197,0,93.36,False,2925.0,
2013-04-07,16898.365999999998,0,93.36,False,2977.0,
2013-04-08,11778.68099,0,93.36,False,2361.0,
2013-04-09,10820.452,0,94.18,False,2416.0,
2013-04-10,10336.796,0,94.59,False,2351.0,
2013-04-11,10100.52204,0,93.44,False,2270.0,
2013-04-12,8948.26,0,91.23,False,2185.0,
2013-04-13,11684.402,0,88.75,False,2559.0,
2013-04-14,13245.735,0,88.75,False,2673.0,
2013-04-15,11802.221,0,88.75,False,2353.0,
2013-04-16,10644.488,0,88.73,False,2385.0,
2013-04-17,8940.60003,0,86.65,False,2166.0,
2013-04-18,9734.059,0,87.83,False,2157.0,
2013-04-19,9442.87596,0,88.04,False,2136.0,
